id_wt,wort,aktualisiert,id_rs,rechtschreibung,zertifikat,id_bd,bedeutung,id_bs,beispiel,star,stufe
1,Terrasse,,,,,,,,,,
2,verdaulich,,,,,,,,,,
3,Abteilung,,,,,,,,,,
4,Magen,,,,,,,,,,
5,stän­dig,,,,,,,,,,
6,dauern,,,,,,,,,,
7,behandln,,,,,,,,,,
8,aufweisen,,,,,,,,,,
9,Strand,,,,,,,,,,
10,stehlen,,,,,,,,,,
